2016-06-18 21:53:58.227 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [fk_sid, primary]
2016-06-18 21:53:58.280 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: crm.department
2016-06-18 21:53:58.332 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [dp_name, dp_id, num_of_employess]
2016-06-18 21:53:58.339 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: []
2016-06-18 21:53:58.383 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [primary]
2016-06-18 21:53:58.458 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: crm.follow_up
2016-06-18 21:53:58.474 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [cs_id, s_id, fu_id, follow_up_time, follow_up_content]
2016-06-18 21:53:58.496 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_csid]
2016-06-18 21:53:58.518 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [fk_csid, primary]
2016-06-18 21:53:58.601 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: crm.product
2016-06-18 21:53:58.607 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [color, material, p_name, unit_price, p_id]
2016-06-18 21:53:58.614 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: []
2016-06-18 21:53:58.649 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [primary]
2016-06-18 21:53:58.692 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: crm.sys_role
2016-06-18 21:53:58.698 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [name, id]
2016-06-18 21:53:58.704 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: []
2016-06-18 21:53:58.738 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [primary]
2016-06-18 21:53:58.782 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000261: Table found: crm.user
2016-06-18 21:53:58.789 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [s_id, password, gender, dp_id, id, account, username]
2016-06-18 21:53:58.795 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_8qtpnv06elxuryeuv1ac4ximm]
2016-06-18 21:53:58.803 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [uk_8qtpnv06elxuryeuv1ac4ximm, primary]
2016-06-18 21:53:58.813 [localhost-startStop-1] INFO  org.hibernate.tool.hbm2ddl.SchemaUpdate - HHH000232: Schema update complete
2016-06-18 21:53:59.328 [localhost-startStop-1] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/css/**'], []
2016-06-18 21:53:59.335 [localhost-startStop-1] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/js/**'], []
2016-06-18 21:53:59.385 [localhost-startStop-1] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/images/**'], []
2016-06-18 21:53:59.426 [localhost-startStop-1] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/**/favicon.ico'], []
2016-06-18 21:53:59.474 [localhost-startStop-1] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/error'], []
2016-06-18 21:53:59.601 [localhost-startStop-1] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@29cd0cdd, org.springframework.security.web.context.SecurityContextPersistenceFilter@50c8075b, org.springframework.security.web.header.HeaderWriterFilter@6a8be5c4, org.springframework.security.web.authentication.logout.LogoutFilter@6c7506a5, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@269e3e5d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@10e58316, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@41cd6e16, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6602373c, org.springframework.security.web.session.SessionManagementFilter@7543e3e, org.springframework.security.web.access.ExceptionTranslationFilter@1aa054e0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2d1cfda0]
